"id","title","summary","content"
"1","第01靈籤:姜公封相","[A1]求籤吉凶：上上靈籤","[A2-1]算命籤詩：
靈籤求得第一枝 龍虎風雲際會時
一旦凌霄揚自樂 任君來往赴瑤池
姜子牙，世人多稱之為姜太公。周朝的開國功臣，他輔佐周武王戰敗了暴君紂王，在多場敵強我弱的惡戰中，如有神助取得勝利。封神榜一書有記載姜公在元始天尊、太乙真人、南極仙翁諸神的扶助，取得封神榜。
[A2-2]黃大仙算命解籤詩：
算命求得這支上上籤詩，可喜可賀！龍虎得風雲際會，您立下的大志，將會得償所願，並能到達至善至樂的境界。正所謂東成西就，左右逢源，萬事如意。轉載自算命眼
黃大仙算命解運勢：
功名遂，求財豐，六畜吉，家宅隆，病即愈，蚕有功
孕生子，婚姻同，行人至，快如風，若謀望，盡享通
[A3]流年：大吉大利，去年失去的，將會在今年得到。
[B]事業：由於有很多貴人扶持，謀事較易成就。
[C]財富：靈籤暗示正財大豊收，亦有些小橫財。
[D]自身：一年四季皆順遂平安。
[E]家庭：和氣吉祥，宜在今年添丁。
[F]姻緣：愛情幸福，適婚人士莫錯過今年好時機。
[G]移居：置業，搬遷，移民，都有機會。
[H]名譽：學業，事業，社會服務，各方面均易獲嘉獎。
[I]健康：靈籤暗示困擾多時的小病即將成為過去。
[J]友誼：貴人多，小人難侵，廣結善緣，多結交新的朋友。
[K]風水：發貴兼丁財。
[L]遺失：即得回原物。
[M]自身：四季俱平安。
[N]天時：豐稔又可喜。
[O]交易：到處有喜色。
[P]出行：往來皆合心。"
"2","第02靈籤：王道真誤入桃源","[A1]求籤吉凶：上吉靈籤","[A2-1]算命籤詩：
枯木逢春盡發新 花看葉茂蝶來頻
桃源競斗千紅紫 一葉漁舟誤入津
桃源即晉代陶淵明所述的世外桃源。傳說中，這位有緣人王道真亦曾順水行舟，無意間到達桃源，看見一群逃避戰亂的先秦遺民，快樂無憂的生活在一個百花爭妍，萬紫千紅，花香蝶舞，枯木逢春的境界。
[A2-2]黃大仙算命解籤詩：
算命求得此籤詩，有一種否極泰來，枯木逢春、時來運轉、快活無憂的徵兆，所以一切佳景，不必刻意去強求﹔順其自然，盡力而為，反而有意想不到的收獲。枯木遇春天而發新芽。花香葉茂引蝴蝶頻來。轉載自算命眼
黃大仙算命解運勢：
財有望，病可愈，蚕獲利，婚有緣，家宅吉，行人歸
養六畜，好向前，問六甲，瓜瓞綿，若謀望，福祿全
[A3]流年：靈籤暗示今年常喜樂，無凶險，可有意外收獲。
[B]事業：水到渠成，凡事順其自然，必有好結果。
[C]財富：靈籤暗示有意外之財，但不可沉迷投機博彩。
[D]自身：貴人多，保平安。切戒與人爭斗。
[E]家庭：和睦，愉快，及時行樂。
[F]姻緣：未婚者易遇有緣人。已婚者人妻和諧，但忌婚外戀。
[G]移居：世外桃源有避亂世之象，請把握機會。
[H]名譽：切勿做沽名釣譽之事，何必追逐浮名？
[I]健康：今年有轉弱為強之機，多作戶外運動。
[J]友誼：靈籤暗示出門遇貴人，朋友為您帶來無比歡樂。
[K]風水：丁財可小發。
[L]遺失：無心得回物。
[M]自身：修養有仙緣。
[N]天時：快樂又可喜。
[P]出行：意外遇貴人 。"
"3","第○三靈籤：魯班開山","[A1]求籤吉凶：中平靈籤","[A2-1]算命籤詩：
牛山之木皆常美 獨惜斧工盡伐他
大器大材無足用 規矩不准怎為搓
魯班，春秋時代魯國人，發明多種土木建筑工具，被尊崇為建筑行業的祖師爺。他曾訓令門徒，切勿亂砍亂伐木材，令這樣豊富的牛山，變成牛山濯濯，光禿禿，竟然無一合適的材料可用。
[A2-2]黃大仙算命解籤詩：
這靈籤的主要意思是說，本來有很好的條件，但是處理失當，不知不覺間，優勢盡失，等到急需人、財、物應用的時候，才發覺已經一無所有了。暗示要珍惜資源，慎防小人，摒棄惡習。轉載自算命眼
黃大仙算命解運勢：
名與利，依理求，蚕與婚，莫妄謀，病慎醫，免禍患
問家宅，德宜修，行未至，孕有憂，凡謀事，勿貪求
[A3]流年：上半年平平，宜未雨綢繆，否則下半年就會出現逆境。
[B]事業：宜守不宜攻，最忌一意孤行。
[C]財富：靈籤暗示正財運不算太差，忌賭博，不貪不謀。
[D]自身：好好修養自己，小心言行。
[E]家庭：孝順父母，在家中要營造和諧氣氛。
[F]姻緣：今年內不是結婚的好時機。提防異性小人。
[G]移居：遠行有阻滯。旅行或搬遷小心人財安全。
[H]名譽：不要逞強，不要出風頭。
[I]健康：病向淺中醫，養病如養虎，慎之。
[J]友誼：小心擇友，勿受小人唆擺作出壞的嘗試。
[K]風水：多不合剪裁。
[L]遺失：原物恐難得。
[M]自身：修養乃平安。
[N]天時：風雨不合時。
[P]出行：靈籤暗示防小人口舌。"
"4","第○五靈籤：韓夫人惜花","[A1]求籤吉凶：中吉靈籤","[A2-1]算命籤詩：
東園昨夜狂風急 萬紫千紅亦盡傾
幸有惜花人早起 培回根本復栽生
韓夫人，是隋煬帝的一位姬妾，相傳是一位惜花之人。韓夫人惜花另有一籤詩如下：
滿園桃李正開時。淺白深紅色總宜。
何以東風苦相妒。曉來折去最高枝。
[A2-2]黃大仙算命解籤詩：
此靈籤是提出一個警告：今年會有較大的波折，天時稍差，地利亦易有失，唯一可取的，就是人和，希望有貴人相助，度過難關，回復生機。轉載自算命眼
東園的百花，被狂風所吹襲，幸有惜花之人，不辭勞苦，去善後，去化險為夷，這個惜花人，可以是自己，也可以是別人。
黃大仙算命解運勢：
名與利，要待時，宅運滯，行人遲，孕有險，病擇醫
出行阻，婚遲疑，蚕與畜，得利微，問謀望，宜謹慎
[A3]流年：有阻滯，是先苦後甜的格局。
[B]事業：雖然形勢不利，但憑自己努力可保無虞。
[C]財富：有小破財之象，對金錢勿存太大希望。
[D]自身：一定要修心養性，才能臨危不亂。
[E]家庭：家中可能有人會病痛多。
[F]姻緣：靈籤暗示勿在今年結婚。蜜運恐有波折。
[G]移居：移民有阻，也不宜搬遷。勉強進行，要破財。
[H]名譽：經過挫折後，可讓別人發現自己的實力。
[I]健康：有病勿自己濫用治療，更勿信江湖郎中。
[J]友誼：在患難中，你會更清楚誰是真正朋友。
[K]風水：丁財恐要退。
[L]遺失：託人情可得。
[M]自身：修善免禍侵。
[N]天時：遭恐難避。
[P]出行：損害恐難言。"
"5","第01靈籤:姜公封相","[A1]求籤吉凶：上上靈籤","[A2-1]算命籤詩：
靈籤求得第一枝 龍虎風雲際會時
一旦凌霄揚自樂 任君來往赴瑤池
姜子牙，世人多稱之為姜太公。周朝的開國功臣，他輔佐周武王戰敗了暴君紂王，在多場敵強我弱的惡戰中，如有神助取得勝利。封神榜一書有記載姜公在元始天尊、太乙真人、南極仙翁諸神的扶助，取得封神榜。
[A2-2]黃大仙算命解籤詩：
算命求得這支上上籤詩，可喜可賀！龍虎得風雲際會，您立下的大志，將會得償所願，並能到達至善至樂的境界。正所謂東成西就，左右逢源，萬事如意。轉載自算命眼
黃大仙算命解運勢：
功名遂，求財豐，六畜吉，家宅隆，病即愈，蚕有功
孕生子，婚姻同，行人至，快如風，若謀望，盡享通
[A3]流年：大吉大利，去年失去的，將會在今年得到。
[B]事業：由於有很多貴人扶持，謀事較易成就。
[C]財富：靈籤暗示正財大豊收，亦有些小橫財。
[D]自身：一年四季皆順遂平安。
[E]家庭：和氣吉祥，宜在今年添丁。
[F]姻緣：愛情幸福，適婚人士莫錯過今年好時機。
[G]移居：置業，搬遷，移民，都有機會。
[H]名譽：學業，事業，社會服務，各方面均易獲嘉獎。
[I]健康：靈籤暗示困擾多時的小病即將成為過去。
[J]友誼：貴人多，小人難侵，廣結善緣，多結交新的朋友。
[K]風水：發貴兼丁財。
[L]遺失：即得回原物。
[M]自身：四季俱平安。
[N]天時：豐稔又可喜。
[O]交易：到處有喜色。
[P]出行：往來皆合心。"
"6","第○六靈籤：王羲之歸故里","[A1]求籤吉凶：上吉靈籤","[A2-1]算命籤詩：
一片孤帆萬里回 管弦嘔啞且停杯
如雲勝友談風月 暢敘幽情極樂哉
王羲之，東晉人，出身貴族，官至右軍將軍，會稽內史。後來辭官歸故里浙江紹興，研習書法有卓越成就，自成一格，為後代的毛筆字體開創一條新路。
書法名家姓王名羲之當時在萬里遠處回家。常吹簫彈琴飲酒。許多朋友相聚談風說月。心情歡欣。快樂之極。
[A2-2]黃大仙算命解籤詩：
這支靈籤是形容一位有才學又有相當經濟基礎的人，放棄官場的爭斗，急流勇退，毅然返故鄉，一方面得聚天倫及友誼之樂，優哉悠哉，一方面又可以繼續發展自己的專長，揚名於後世。
黃大仙算命解運勢：
蚕有利，名必成，行人至，家宅興，病即愈，財即盈
六畜吉，婚姻成，若六甲，貴子生，問謀望，百事享
[A3]流年：大吉大利，尤其是秋冬時分。轉載自算命眼
[B]事業：諸事順意，對身邊的人，隨和一些，更佳。
[C]財富：賺錢不少，花費亦不少。
[D]自身：平安無事，多行善積福，好運會延續。
[E]家庭：家運興旺，可以及時行樂。
[F]姻緣：夫妻和順，未婚者今年底有好機會。
[G]移居：無論搬遷或移居外國，但求心之所安。
[H]名譽：多助人，多作公益，功名建在不知不覺間。
[I]健康：身心愉快，可保最佳狀態。
[J]友誼：會結交一些志同道合的新朋友。
[K]風水：平穩自然發。
[L]遺失：靈籤暗示多方求可得。
[M]自身：靈籤暗示積善遇貴人。
[N]天時：風雨皆可喜。
[P]出行：事事合心情。"
"7","第○八靈籤：崔子弒父","[A1]求籤吉凶：下下靈籤","[A2-1]算命籤詩：
鳴鳩爭奪鵲巢居 賓主參差意不舒
滿嶺喬松蘿蔦附 且猜詩語是何如
「詩﹒召南﹒鵲巢」有雲：維鵲有巢，維鳩居之。喜鵲善於筑巢，而鳩鴿卻不懂筑巢，往往恃惡霸占而居之。此已有主被賓欺之象，也即是俗稱的「客家占地主」。
[A2-2]黃大仙算命解籤詩：
蘿蔦，即蔦蘿，一種攀藤植物，山嶺上的松樹，都被它們纏繞著。有困身，小人依附之象。春秋時，崔子因妻被齊王占有，怒而起兵殺之。轉載自算命眼
此靈籤有鳩占鵲巢之象，年內謹防小人欺凌，惡人相侵，要小心一言一行。凡事宜隱忍勿強爭奪。誠恐為是非而拖累。難以解脫而要依附於人也。此乃凶多而吉少之象。
黃大仙算命解運勢：
宅運滯，行未歸，病與孕，當仔細，問謀望，事無濟
蚕與畜，恐有敝，求財者，勿妄為，論婚姻，總不諧
[A3]流年：是非多多，而且一波未平一波又起。
[B]事業：極難有成就，在守業，要防惡人奸人。
[C]財富：靈籤暗示能夠保持現狀，已屬萬幸，切戒貪謀。
[D]自身：小人纏身，是是非非不絕於耳，慎言。
[E]家庭：家宅運滯，婦孺更要小心出入、交友。
[F]姻緣：婚姻與愛情都備受考驗，防第三者出現。
[G]移居：機會微小，若勉強行事，須小心抉擇，並作福祭朱雀。
[H]名譽：靈籤暗示凡事宜忍，和為貴。
[I]健康：病痛較多，特別在春秋兩季。
[J]友誼：來說是非者，便是是非人。勿被人口甜舌滑所騙。
[K]風水：凶煞多損害。
[L]遺失：失了又執。
[M]自身：疾病口舌多。
[N]天時：可憂無可喜。
[P]出行：有敗而無成。"
"8","第03靈籤：魯班開山","[A1]求籤吉凶：中平靈籤","[A2-1]算命籤詩：
牛山之木皆常美 獨惜斧工盡伐他
大器大材無足用 規矩不准怎為搓
魯班，春秋時代魯國人，發明多種土木建筑工具，被尊崇為建筑行業的祖師爺。他曾訓令門徒，切勿亂砍亂伐木材，令這樣豊富的牛山，變成牛山濯濯，光禿禿，竟然無一合適的材料可用。
[A2-2]黃大仙算命解籤詩：
這靈籤的主要意思是說，本來有很好的條件，但是處理失當，不知不覺間，優勢盡失，等到急需人、財、物應用的時候，才發覺已經一無所有了。暗示要珍惜資源，慎防小人，摒棄惡習。轉載自算命眼
黃大仙算命解運勢：
名與利，依理求，蚕與婚，莫妄謀，病慎醫，免禍患
問家宅，德宜修，行未至，孕有憂，凡謀事，勿貪求
[A3]流年：上半年平平，宜未雨綢繆，否則下半年就會出現逆境。
[B]事業：宜守不宜攻，最忌一意孤行。
[C]財富：靈籤暗示正財運不算太差，忌賭博，不貪不謀。
[D]自身：好好修養自己，小心言行。
[E]家庭：孝順父母，在家中要營造和諧氣氛。
[F]姻緣：今年內不是結婚的好時機。提防異性小人。
[G]移居：遠行有阻滯。旅行或搬遷小心人財安全。
[H]名譽：不要逞強，不要出風頭。
[I]健康：病向淺中醫，養病如養虎，慎之。
[J]友誼：小心擇友，勿受小人唆擺作出壞的嘗試。
[K]風水：多不合剪裁。
[L]遺失：原物恐難得。
[M]自身：修養乃平安。
[N]天時：風雨不合時。
[P]出行：靈籤暗示防小人口舌。"
"9","第一○靈籤：蘇秦不第","[A1]求籤吉凶：中平靈籤","[A2-1]算命籤詩：
一輪月鏡挂空中 偶被浮雲障疊重
玉匣何時光氣吐 誰人借我一狂風
戰國時代，蘇秦多次參加考試，都落第，本來，他是一個非常有學問、有見識的人，但奈何時運未開。幸而他並沒有為暫時的失意而心灰意冷，憑著不屈不撓的意志，終於官拜宰相。
[A2-2]黃大仙算命解籤詩：
明月、玉匣，代表一個人的真才實學，可惜，偶然被浮雲所遮掩，未能展露光芒。誰人借我一狂風呢？有一種等待機會，貴人未遇的感嘆。轉載自算命眼
暗示求得此靈籤者，不要輕舉妄為。當隱忍待時，不可妄動，防避小人口舌，不久即有貴人相扶，消此小劫也，此乃吉中微有凶之靈簽。
黃大仙算命解運勢：
婚不合，病慎醫，宅運滯，行人遲，求財者，要待時
問六甲，必女兒，蚕與畜，宜慎謹，若謀望，當三思
[A3]流年：今年的阻滯較多，宜以不變應萬變。
[B]事業：一動不如一靜，除非遇上大貴人，否則宜穩守。
[C]財富：靈籤暗示大財偏財機會甚微，但常有小財。
[D]自身：尚算平安，無論發生何事，也無大礙。
[E]家庭：和氣可令好運提前來。今年生女會為家庭帶來好轉機。
[F]姻緣：夫妻常有小磨擦，宜避免。不宜今年結婚。
[G]移居：移民外國或搬遷新居，都有機會。
[H]名譽：不妨為公眾多做點事。
[I]健康：常有小病，如頭痛、感冒、睡眠不寧。
[J]友誼：靈籤暗示要遠離小人，勿與異性朋友來往太密。
[K]風水：此地暫失運。
[L]遺失：待時不用問。
[M]自身：有事不用憂。
[N]天時：微有不合意。
[P]出行：慎之無不利。"
"10","第十一靈籤：漢文帝賞柳","[A1]求籤吉凶：上吉靈籤","[A2-1]算命籤詩：
楊柳垂堤鎖綠煙 日長三起又三眠
往來紫燕紛飛舞 裊娜迎風倩我憐
漢文帝，一個施德政、親人民的皇帝，在位二十三年，實行「與民休息」的政策， 減輕地稅、賦役、刑獄，在平定諸呂之亂後，國計民生得以復蘇，農業生產迅速發展。
[A2-2]黃大仙算命解籤詩：
漢文帝最喜歡欣賞楊柳的美態，為了提高工作效率，他采用分段睡眠法，每日三眠三起，醒後必欣賞綠柳垂堤，紫燕在其間飛舞的美好景色。蓋楊柳有時垂有時起，且有燕子往來飛舞其間，迎風搖動，景色怡人。轉載自算命眼
得此靈籤有萬事如意之象，求謀順遂事事皆吉。
黃大仙算命解運勢：
六畜吉，家宅昌，財可得，病者康，孕生子，名必揚
若謀望，皆吉祥，行人至，婚姻良，蚕有利，樂無疆
[A3]流年：一切吉祥如意，快樂無愁。
[B]事業：有極顯著的成就，但凡事要親力親為。
[C]財富：正財財源滾滾而來，偏財則極少。
[D]自身：平安，但一定要為未來多積福德。
[E]家庭：父母慈，子女孝，樂也融融。
[F]姻緣：夫妻感情越來越好。未婚者今年可締結良緣。
[G]移居：有搬遷和移民機會，而且路上有貴人。
[H]名譽：可以建立名譽和功勛。
[I]健康：多作戶外運動，更可延年卻病。
[J]友誼：化敵為友，宜擴大社交圈子。
[K]風水：靈籤暗示吉地逢人愛。
[L]遺失：求之必可得。
[M]自身：積善遇平安。
[N]天時：風雨皆可喜。
[P]出行：靈籤暗示小人變貴人。"
