id,title,summary,content
1,Divine Omen No. 01,"
Divine Omen No. 01: Lord Jiang's Ennoblement

Omen Fortune: Supreme Auspicious Omen

Divine Omen Poem:
The first divine omen obtained,
When dragon and tiger meet with wind and clouds.
Once soaring to the heavens in self-joy,
You may freely come and go to the Jade Pool.

Historical Context:
Jiang Ziya, commonly known as Grand Duke Jiang, was a founding hero of the Zhou Dynasty. He assisted King Wu of Zhou in defeating the tyrant King Zhou, achieving victory in numerous battles against overwhelming odds, as if aided by divine intervention. The ""Investiture of the Gods"" records how Lord Jiang obtained the divine register with the assistance of deities such as the Primordial Heavenly Venerable, Taiyi Zhenren, and the Southern Immortal Elder.

Divine Fortune Interpretation:
Congratulations on obtaining this supreme auspicious omen! Like the dragon and tiger meeting with wind and clouds, your great aspirations will be fulfilled, and you will reach the realm of ultimate goodness and joy. This signifies success in all directions, favorable circumstances everywhere, and everything going according to your wishes.

Fortune Forecast:

Success: Official rank achieved, wealth abundant, livestock prosperous, household flourishing, illness cured, silkworms productive.

Personal: Pregnancy brings sons, marriage harmonious, travelers arrive swiftly, all plans and hopes fully realized.

Annual Fortune: Extremely auspicious - what was lost last year will be regained this year.

Career: Easier to achieve goals due to support from many noble patrons.

Wealth: The omen suggests abundant legitimate income and some unexpected windfalls.

Personal Well-being: Smooth and peaceful throughout all four seasons.

Family: Harmonious and auspicious, favorable for adding new members this year.

Romance: Happy love life, those seeking marriage should not miss this year's good opportunity.

Relocation: Opportunities for property purchase, moving, and immigration.

Reputation: Easy to receive commendations in studies, career, and social service.

Health: The omen suggests long-troublesome minor ailments will soon become a thing of the past.

Friendship: Many noble friends, difficult for petty people to harm, build good karma, make new friends.

Feng Shui: Brings both nobility and prosperity.

Lost Items: Will be recovered.

Personal Fortune: Peaceful throughout all seasons.

Weather: Bountiful and joyous.

Business: Joyful atmosphere everywhere.

Travel: All journeys meet with satisfaction.",
2,Divine Omen No. 02,"Divine Omen No. 02: Wang Daozhen's Accidental Entry into Peach Blossom Spring
Omen Fortune: Very Auspicious Omen

Divine Omen Poem:
Withered wood meets spring and sprouts anew,
Flowers bloom with lush leaves, butterflies frequent.
Peach Blossom Spring competes in myriad reds and purples,
A fishing boat with one leaf accidentally enters the ford.

Historical Context:
Peach Blossom Spring refers to the utopian paradise described by Tao Yuanming of the Jin Dynasty. Legend has it that this fortunate person, Wang Daozhen, also sailed downstream by boat and accidentally reached Peach Blossom Spring, where he saw a group of pre-Qin refugees who had escaped the chaos of war, living happily and carefree in a realm where withered wood meets spring, flowers compete in beauty, myriad colors abound, fragrance fills the air, and butterflies dance.

Divine Fortune Interpretation:
Obtaining this omen poem suggests a turning point from adversity to prosperity, like withered wood meeting spring, fortune changing, and carefree happiness. Therefore, all good things need not be forcefully pursued; following nature and doing one's best will bring unexpected rewards. Withered wood sprouts new buds when spring arrives. Fragrant flowers and lush leaves attract frequent butterfly visits.

Fortune Forecast:

Success: Wealth prospects, illness curable, silkworms profitable, marriage destined, household auspicious, travelers return.

Personal: Livestock prosperous, move forward well, pregnancy brings many offspring, all plans and hopes bring complete fortune and blessings.

Annual Fortune: The omen suggests constant joy this year, no danger, possible unexpected gains.

Career: Water flows naturally to channels, everything follows its natural course, good results guaranteed.

Wealth: The omen suggests unexpected wealth, but avoid becoming addicted to speculation and gambling.

Personal Well-being: Many noble patrons, safety assured. Strictly avoid conflicts with others.

Family: Harmonious, joyful, seize the moment for happiness.

Romance: Unmarried people easily meet destined partners. Married couples harmonious, but avoid extramarital affairs.

Relocation: Peach Blossom Spring symbolizes escaping worldly chaos, seize the opportunity.

Reputation: Never do things for fame and reputation, why chase empty fame?

Health: Opportunity to turn weakness into strength this year, engage in more outdoor exercise.

Friendship: The omen suggests meeting noble patrons when going out, friends bring immeasurable joy.

Feng Shui: Small prosperity in family and wealth.

Lost Items: Recovered unexpectedly.

Personal Fortune: Cultivation brings immortal connection.

Weather: Joyful and delightful.

Travel: Unexpectedly meet noble patrons.",
3,Divine Omen No. 03,"Divine Omen No. 03: Lu Ban Opens the Mountain
Omen Fortune: Neutral Omen

Divine Omen Poem:
The trees of Ox Mountain are all beautiful,
But sadly the axe workers have cut them all down.
Great vessels and materials become useless,
How can one carve without proper rules and measurements?

Historical Context:
Lu Ban, a native of the State of Lu during the Spring and Autumn Period, invented various civil engineering and construction tools and is revered as the founding master of the construction industry. He once instructed his disciples never to recklessly cut down trees, as this rich Ox Mountain became barren and bald, with not a single suitable material available.

Divine Fortune Interpretation:
The main meaning of this divine omen is that although one originally had excellent conditions, improper handling has caused advantages to be lost unconsciously. When urgently needing people, wealth, or materials, one realizes there's nothing left. This suggests cherishing resources, beingware of petty people, and abandoning bad habits.

Fortune Forecast:

Success: Fame and profit should be sought according to reason, silkworms and marriage should not be recklessly pursued, illness requires careful medical attention to avoid disaster.

Personal: For household matters, cultivate virtue, travel not yet arrived, pregnancy brings worries, all plans should avoid greed.

Annual Fortune: First half of the year average, should prepare for rainy days, otherwise the second half will bring adversity.

Career: Better to defend than attack, most importantly avoid acting alone.

Wealth: The omen suggests legitimate wealth fortune isn't too bad, avoid gambling, don't be greedy or scheming.

Personal Well-being: Cultivate yourself well, be careful with words and actions.

Family: Be filial to parents, create harmonious atmosphere at home.

Romance: This year is not a good time for marriage. Beware of petty people of the opposite sex.

Relocation: Long journeys face obstacles. Be careful of personal and financial safety when traveling or moving.

Reputation: Don't show off strength, don't seek attention.

Health: Treat illness early, nursing illness is like nursing a tiger, be careful.

Friendship: Choose friends carefully, don't be influenced by petty people to make bad attempts.

Feng Shui: Many things don't fit the cutting and tailoring.

Lost Items: Original items may be difficult to recover.

Personal Fortune: Cultivation brings peace.

Weather: Wind and rain come at inappropriate times.

Travel: The omen suggests beware of petty people's gossip.",
4,Divine Omen No. 04,"Divine Omen No. 04: Dong Yong Meets the Immortal
Omen Fortune: Moderately Auspicious Omen

Divine Omen Poem:
Young purple swallows at the eaves,
Chattering softly near noon.
Coming and going, low then high,
Sometimes cutting through green willow mist.

Historical Context:
Dong Yong, a native of Qiancheng, lost his mother young and was left to care for his father alone. He wandered to Xiaogan. When his father died, he had no money for burial, so he borrowed ten thousand coins from someone. Later, having no money to repay, he was to become a slave. One day while cutting firewood on the mountain, he fell asleep exhausted. Heaven, seeing his filial piety, sent down an immortal maiden to marry him.

When Dong Yong woke and saw the woman, he feared she was a demon. The woman stopped him, saying she had no parents and no support, and wanted to become husband and wife. Dong Yong, seeing her pitiful state, took her home. His master blamed Dong Yong for abducting a woman, which would bring disaster to his master. Later, they temporarily kept the woman and searched everywhere for families who had lost a woman. Only then did they allow the marriage.

The immortal wife wove fifty zhang of brocade in a hundred days. She cut half to sell at the market for silver to redeem Dong Yong's freedom. Later, she presented the brocade and was granted the title of ""Treasure Presenting Scholar.""

Divine Fortune Interpretation:
This divine omen describes the natural scenery that Dong Yong and the immortal maiden saw in spring. Swallows shuttling back and forth at the eaves, searching for food, returning to the nest to feed the next generation. It's comforting that swallows, to nurture the next generation, will definitely choose safer environments to build nests. The first two lines show the mother swallow chattering softly with her young at the eaves, indicating signs of peace.

The last two lines of the omen remind us that the young swallows' parents, in search of food, come and go, sometimes high sometimes low, suggesting fortunes that rise and fall, sometimes good sometimes bad, with fluctuations throughout the year.

Fortune Forecast:

Success: Household peaceful, wealth brings small profit, marriage attainable, travel gradually arrives, illness requires caution, silkworms and livestock prosperous.

Personal: Pregnancy brings joy, raising livestock also suitable, all plans and hopes require knowing the right timing.

Annual Fortune: Generally stable, but fortunes have ups and downs.

Career: Must be diligent and hardworking, closely watch external situations, know when to advance and retreat.

Wealth: Wealth fortune has smooth and rough currents, but fluctuations won't be too great.

Personal Well-being: No major issues, should be humble and sociable.

Family: Household peaceful, harmony brings good fortune.

Romance: Love fortune quite good, marriage happy.

Relocation: The omen suggests opportunities for moving, especially in spring and autumn.

Reputation: Your diligence will definitely gain others' appreciation.

Health: Pay attention to physical conditioning, balance work and rest appropriately.

Friendship: Both receive help from friends and should help the weak.

Feng Shui: Stable, no concerns.

Lost Items: Recovery date uncertain.

Personal Fortune: Nurture your own spirit.

Weather: Abundance or scarcity unknown.

Travel: The omen suggests beware of petty people.",
5,Divine Omen No. 05,"Divine Omen No. 05: Lady Han Cherishes Flowers
Omen Fortune: Moderately Auspicious Omen

Divine Omen Poem:
Last night fierce winds raged in the eastern garden,
All the myriad reds and purples were completely toppled.
Fortunately, a flower-cherishing person rose early,
Nurtured the roots back and replanted them to grow.

Historical Context:
Lady Han was a concubine of Emperor Yang of Sui, said to be a person who cherished flowers. Lady Han's flower cherishing has another omen poem as follows:

When the garden's peach and plum trees are in full bloom,
Light white and deep red colors are all suitable.
Why does the east wind bitterly envy them?
At dawn it breaks off the highest branches.

Divine Fortune Interpretation:
This divine omen issues a warning: this year will have greater setbacks, weather conditions are somewhat poor, geographical advantages are easily lost. The only redeeming factor is human harmony, hoping for noble patrons to help overcome difficulties and restore vitality.

The hundred flowers of the eastern garden were ravaged by fierce winds, but fortunately there was a flower-cherishing person who spared no effort to handle the aftermath and turn danger into safety. This flower-cherishing person could be oneself or someone else.

Fortune Forecast:

Success: Fame and profit must wait for the right time, household fortune stagnant, travelers delayed, pregnancy risky, illness requires choosing doctors carefully.

Personal: Travel obstructed, marriage hesitant, silkworms and livestock bring minimal profit, all plans and hopes should be cautious.

Annual Fortune: There are obstacles, a pattern of bitterness first then sweetness.

Career: Although the situation is unfavorable, relying on one's own efforts can ensure safety.

Wealth: There are signs of small financial losses, don't have too much hope for money.

Personal Well-being: Must cultivate heart and nature to remain calm in crisis.

Family: Someone in the family may suffer from frequent illness and pain.

Romance: The omen suggests not to marry this year. Love affairs may face setbacks.

Relocation: Immigration faces obstacles, moving is also not advisable. Forcing it will result in financial loss.

Reputation: After experiencing setbacks, others may discover your true capabilities.

Health: Don't self-medicate when ill, and don't trust quack doctors.

Friendship: In times of hardship, you'll see more clearly who your true friends are.

Feng Shui: Family and wealth may decline.

Lost Items: Can be recovered through personal connections.

Personal Fortune: Cultivating goodness avoids disaster.

Weather: Difficult to avoid calamities.

Travel: Damage may be unspeakable.",
6,Divine Omen No. 06,"Divine Omen No. 06: Wang Xizhi Returns to His Homeland
Omen Fortune: Very Auspicious Omen

Divine Omen Poem:
A solitary sail returns from ten thousand miles,
Pipes and strings cease, wine cups are set aside.
Like clouds, noble friends discuss wind and moon,
Freely sharing deep emotions, utmost joy.

Historical Context:
Wang Xizhi, a native of the Eastern Jin Dynasty, came from a noble family and served as Right Army General and Governor of Kuaiji. Later, he resigned from office and returned to his homeland in Shaoxing, Zhejiang, where he studied calligraphy and achieved outstanding accomplishments, developing his own unique style and pioneering a new path for future brush calligraphy.

The famous calligrapher Wang Xizhi was returning home from ten thousand miles away. He often played the flute and zither while drinking wine. Many friends gathered to discuss wind and moon. His mood was joyful and extremely happy.

Divine Fortune Interpretation:
This divine omen describes a person with talent and substantial financial foundation who abandons the struggles of officialdom, bravely retreats from the rapid current, and resolutely returns to his homeland. On one hand, he enjoys the pleasures of family reunion and friendship, living leisurely and carefree; on the other hand, he can continue developing his expertise and gain fame for future generations.

Fortune Forecast:

Success: Silkworms profitable, fame certain, travelers arrive, household prosperous, illness cured, wealth abundant.

Personal: Livestock auspicious, marriage successful, if pregnant, noble son born, all plans and hopes bring complete enjoyment.

Annual Fortune: Extremely auspicious, especially in autumn and winter.

Career: Everything goes smoothly, being more accommodating to those around you will be even better.

Wealth: Earns much money, but also spends much.

Personal Well-being: Peaceful and uneventful, do more good deeds and accumulate blessings, good fortune will continue.

Family: Family fortune flourishing, can seize the moment for happiness.

Romance: Husband and wife harmonious, unmarried people have good opportunities at year's end.

Relocation: Whether moving or immigrating abroad, seek peace of mind.

Reputation: Help others more, do more public service, fame and merit built unconsciously.

Health: Body and mind joyful, can maintain best condition.

Friendship: Will make new friends with similar aspirations.

Feng Shui: Stable and naturally prosperous.

Lost Items: The omen suggests seeking in multiple places will bring recovery.

Personal Fortune: The omen suggests accumulating goodness brings noble patrons.

Weather: Both wind and rain bring joy.

Travel: Everything meets with satisfaction.",
7,Divine Omen No. 07,"Divine Omen No. 07: Ren Gui Returns Home
Omen Fortune: Moderately Auspicious Omen

Divine Omen Poem:
Autumn comes, migrating geese return south,
Red leaves scatter and fly throughout the courtyard.
The sound of pounding clothes on city walls pierces the ears,
River maples burn like fire on the fishing rocks.

Historical Context:
Xue Ren Gui, a famous general of the Tang Dynasty, led armies to conquer the east, repeatedly achieving military merit, and was granted the title of Duke of Pingyang. Xue Ren Gui conquered the east, returned victorious to court, was granted a royal title, and returned home. At that time, autumn was turning cold, geese were flying south, red leaves were falling, people were washing winter clothes. This autumn scene of desolation, though not harmful, also lacked joy.

Divine Fortune Interpretation:
This divine omen shows the good fortune of Xue Ren Gui returning home in glory after conquering the east, achieving victory at court, and receiving rewards and honors. However, sadly, soldiers age easily, youth is consumed in war, and on the journey home, they encounter autumn.

Migrating geese returning south and red leaves flying scatteringly, most heartbreaking is that many soldiers' wives are pounding clothes on the city walls. This suggests there will be beauty with flaws, and disappointing or disheartening events will occur.

Fortune Forecast:

Success: For household matters, be vigilant, marriage incompatible, wealth average, silkworms and livestock slightly damaged.

Personal: Illness and pregnancy require good prayers, travelers obstructed, not yet returned home, all plans and hopes bring little auspiciousness.

Annual Fortune: Generally stable, spring better, summer even better, but be careful when autumn arrives.

Career: Will achieve success even in difficulties, but shouldn't be too obsessed.

Wealth: The omen suggests wealth fortune is only average, be careful of theft.

Personal Well-being: Average and ordinary, which is actually worth congratulating.

Family: Besides paying attention to home security, remember that harmony is precious.

Romance: Between husband and wife, conflicts easily arise. Unmarried people best not marry this year.

Relocation: Use constancy to respond to change, change environment, try to complete in the first half of the year.

Reputation: Best not to accept empty fame.

Health: Prone to neurasthenia, especially in the second half of the year.

Friendship: The omen suggests not to climb high to those with wealth and power.

Feng Shui: Average, nothing to gain.

Lost Items: Difficult to find original items.

Personal Fortune: Be careful after autumn.

Weather: Many inconveniences.

Travel: Plain without much good.",
8,Divine Omen No. 08,"Divine Omen No. 08: Cui Zi Kills His Father
Omen Fortune: Very Inauspicious Omen

Divine Omen Poem:
Doves compete to seize magpie's nest,
Host and guest at odds, intentions uneasy.
Full mountain of tall pines with dodder vines attached,
And guess what the poem's words mean.

Historical Context:
The ""Book of Songs: Shao Nan: Magpie's Nest"" says: ""The magpie has a nest, the dove dwells in it."" Magpies are skilled at building nests, while doves and pigeons don't understand nest-building and often rely on bullying to occupy them. This shows the image of a host being bullied by a guest, commonly known as ""the guest occupying the host's land.""

Divine Fortune Interpretation:
Dodder vines, a type of climbing plant, wrap around the pine trees on the mountain. This shows the image of being trapped and petty people attaching themselves. During the Spring and Autumn Period, Cui Zi, because his wife was taken by the King of Qi, became angry and raised an army to kill him.

This divine omen has the image of doves occupying magpie nests. Within the year, beware of petty people's bullying and evil people's invasion. Be careful with every word and action. All matters should be endured rather than forcefully contested. Fear being dragged into disputes and difficulties. Hard to extricate oneself and must depend on others. This is an omen of more misfortune than good fortune.

Fortune Forecast:

Success: Household fortune stagnant, travel not yet returned, illness and pregnancy require careful attention, all plans and hopes bring no benefit.

Personal: Silkworms and livestock may have losses, wealth seekers should not act recklessly, marriage discussions bring no harmony.

Annual Fortune: Many disputes, and as one wave subsides another rises.

Career: Extremely difficult to achieve success, in maintaining business, beware of evil and treacherous people.

Wealth: The omen suggests being able to maintain current status is already fortunate, strictly avoid greed and scheming.

Personal Well-being: Petty people cling to you, disputes constantly in your ears, be careful with words.

Family: Household fortune stagnant, women and children must be especially careful with comings and goings and making friends.

Romance: Both marriage and love face severe tests, beware of third parties appearing.

Relocation: Opportunities minimal, if forcing matters, must choose carefully and make offerings to the Vermilion Bird.

Reputation: The omen suggests all matters should be endured, harmony is precious.

Health: More illness and pain, especially in spring and autumn.

Friendship: Those who come to discuss disputes are dispute-makers. Don't be deceived by sweet talk and smooth tongues.

Feng Shui: Evil spirits bring much damage.

Lost Items: Lost then found again.

Personal Fortune: Much illness and gossip.

Weather: Worrisome with no joy.

Travel: Failure without success.",
9,Divine Omen No. 09,"Divine Omen No. 09: Tao Yuanming Appreciates Chrysanthemums
Omen Fortune: Very Auspicious Omen

Divine Omen Poem:
A jade qin plays a new melody,
Bright moon and clear breeze, pillow and mat cool.
All distinguished guests gather to appreciate chrysanthemums,
Some sing, some dance, some fly wine cups.

Historical Context:
Tao Yuanming, a man of insight from the Jin Dynasty, would not bow for five pecks of rice, abandoned official salary, returned home to enjoy a simple life. Around his hermitage, he planted chrysanthemums everywhere, enjoying the pleasures of rural life while writing books and establishing theories, producing many articles and poems that are still recited today.

Divine Fortune Interpretation:
The omen shows an autumn scene with bright moon and clear breeze, spreading pillows and mats in the courtyard, a jade qin playing fresh and pure melodies, drinking wine and appreciating chrysanthemums with good friends, completely unrestrained, singing and dancing. What joy is this? Those who obtain this divine omen have the signs of favorable timing, geographical advantage, and human harmony. Everything goes according to their wishes.

Fortune Forecast:

Success: Household peaceful, travelers arrive, illness cured, pregnancy brings sons, silkworms and livestock all profitable.

Personal: If seeking wealth, will be satisfied, all plans and hopes bring satisfaction, marriage brings perfect harmony.

Annual Fortune: Very auspicious, especially after the beginning of autumn.

Career: Everything should not be forcefully pursued, accept what comes.

Wealth: Don't need to be too deliberate in seeking wealth, wealth will come naturally.

Personal Well-being: Peaceful and very auspicious, enjoy happiness when it comes.

Family: Harmonious and happy, adding new members at year's end best fits this omen.

Romance: Married couples, husband leads wife follows; unmarried people, lovers finally become couples.

Relocation: This is a very auspicious omen for immigration, should seize the opportunity.

Reputation: Often receive others' respect, always maintain humility.

Health: May have minor illnesses in spring, but recover quickly.

Friendship: Many noble patrons, petty people difficult to invade.

Feng Shui: Will bring family and wealth.

Lost Items: Soon recovered.

Personal Fortune: Peaceful without illness.

Weather: People and things all bring joy.

Travel: The omen suggests noble patrons everywhere.",
10,Divine Omen No. 10,"Divine Omen No. 10: Su Qin Fails the Examination
Omen Fortune: Neutral Omen

Divine Omen Poem:
A round moon mirror hangs in the sky,
Occasionally covered by layers of floating clouds.
When will the jade box emit its light?
Who will lend me a fierce wind?

Historical Context:
During the Warring States period, Su Qin took examinations multiple times but failed. Originally, he was a very learned and insightful person, but unfortunately his fortune had not yet opened. Fortunately, he did not become disheartened by temporary setbacks. With indomitable will, he finally achieved the position of prime minister.

Divine Fortune Interpretation:
The bright moon and jade box represent a person's true talent and learning. Sadly, they are occasionally covered by floating clouds, unable to display their brilliance. ""Who will lend me a fierce wind?"" expresses a sigh of waiting for opportunity and not yet meeting noble patrons.

This suggests that those who obtain this divine omen should not act rashly. They should endure and wait for the right time, not act recklessly, avoid petty people's gossip. Soon noble patrons will come to help, dispelling this minor calamity. This is an omen of good fortune with slight misfortune.

Fortune Forecast:

Success: Marriage incompatible, illness requires careful medical attention, household fortune stagnant, travelers delayed, wealth seekers must wait for the right time.

Personal: Pregnancy will bring daughters, silkworms and livestock require careful attention, all plans and hopes require careful consideration.

Annual Fortune: This year has many obstacles, better to use constancy to respond to change.

Career: Action is not as good as stillness, unless meeting great noble patrons, otherwise better to maintain stability.

Wealth: The omen suggests opportunities for great wealth and windfalls are minimal, but small wealth is frequent.

Personal Well-being: Generally peaceful, no matter what happens, no major issues.

Family: Harmony can bring good fortune early. Having a daughter this year will bring good changes to the family.

Romance: Husband and wife often have minor conflicts, should avoid. Not suitable to marry this year.

Relocation: Opportunities for immigrating abroad or moving to new homes.

Reputation: Might as well do more for the public.

Health: Often have minor illnesses like headaches, colds, and sleep disturbances.

Friendship: The omen suggests staying away from petty people, don't interact too closely with friends of the opposite sex.

Feng Shui: This place temporarily loses fortune.

Lost Items: Wait for the right time, no need to ask.

Personal Fortune: When there are matters, no need to worry.

Weather: Slightly unsatisfactory.

Travel: Be careful, no harm will come.",
